"Step","vit-base16-cifar-lr-1e-4-bs128 - train/avg_loss","vit-base16-cifar-lr-1e-4-bs128 - train/avg_loss__MIN","vit-base16-cifar-lr-1e-4-bs128 - train/avg_loss__MAX"
"81","0.005184969152653646","0.005184969152653646","0.005184969152653646"
"82","0.005317468738370656","0.005317468738370656","0.005317468738370656"
"83","0.00469118284389881","0.00469118284389881","0.00469118284389881"
"84","0.00518242784389777","0.00518242784389777","0.00518242784389777"
"85","0.004512128832838152","0.004512128832838152","0.004512128832838152"
"86","0.0036593537299216892","0.0036593537299216892","0.0036593537299216892"
"87","0.0024923976793743956","0.0024923976793743956","0.0024923976793743956"
"88","0.002480048595428127","0.002480048595428127","0.002480048595428127"
"89","0.002828369092949427","0.002828369092949427","0.002828369092949427"
"90","0.0024912124627705693","0.0024912124627705693","0.0024912124627705693"
"91","0.0019195055280047048","0.0019195055280047048","0.0019195055280047048"
"92","0.001601377486099002","0.001601377486099002","0.001601377486099002"
"93","0.0017660693858925533","0.0017660693858925533","0.0017660693858925533"
"94","0.001942319714709434","0.001942319714709434","0.001942319714709434"
"95","0.0017718616603992245","0.0017718616603992245","0.0017718616603992245"
"96","0.00135759341005107","0.00135759341005107","0.00135759341005107"
"97","0.0015708959403025317","0.0015708959403025317","0.0015708959403025317"
"98","0.0016521496904052674","0.0016521496904052674","0.0016521496904052674"
"99","0.0015312302459367117","0.0015312302459367117","0.0015312302459367117"
