"Step","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy__MIN","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy__MAX"
"34839","76.47522847522848","76.47522847522848","76.47522847522848"
"35392","76.61726508785333","76.61726508785333","76.61726508785333"
"35945","76.75635910930029","76.75635910930029","76.75635910930029"
"36498","76.97252638429109","76.97252638429109","76.97252638429109"
"37051","77.12893642305407","77.12893642305407","77.12893642305407"
"37604","77.33638910109498","77.33638910109498","77.33638910109498"
"38157","77.5496137849079","77.5496137849079","77.5496137849079"
"38710","77.61763291175056","77.61763291175056","77.61763291175056"
"39263","77.71360665478312","77.71360665478312","77.71360665478312"
"39816","77.93260334436805","77.93260334436805","77.93260334436805"
"40369","78.14843108960756","78.14843108960756","78.14843108960756"
"40922","78.25142178083354","78.25142178083354","78.25142178083354"
"41475","78.39583510171745","78.39583510171745","78.39583510171745"
"42028","78.48535777947542","78.48535777947542","78.48535777947542"
"42581","78.68568033273915","78.68568033273915","78.68568033273915"
"43134","78.89901819313584","78.89901819313584","78.89901819313584"
"43687","78.90682737741561","78.90682737741561","78.90682737741561"
"44240","79.05237246413716","79.05237246413716","79.05237246413716"
"44793","79.31879014231956","79.31879014231956","79.31879014231956"
"45346","79.37232266644031","79.37232266644031","79.37232266644031"
"45899","79.48312254194607","79.48312254194607","79.48312254194607"
"46452","79.53427835780776","79.53427835780776","79.53427835780776"
"47005","79.74003338709221","79.74003338709221","79.74003338709221"
"47558","79.92122909769968","79.92122909769968","79.92122909769968"
"48111","79.88569165039753","79.88569165039753","79.88569165039753"
"48664","80.07899725546784","80.07899725546784","80.07899725546784"
"49217","80.21888351300116","80.21888351300116","80.21888351300116"
"49770","80.33092833092833","80.33092833092833","80.33092833092833"
"50323","80.45214045214045","80.45214045214045","80.45214045214045"
